organism,16s,23s,5s,alanine,arginine,asparagine,asparticacid,cysteine,glutamicacid,glutamine,glycine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine
bin_313,2.0,,,,4.0,,1.0,1.0,2.0,2.0,3.0,1.0,,5.0,2.0,1.0,1.0,3.0,4.0,3.0,,1.0,2.0
bin_314,1.0,,1.0,2.0,4.0,,1.0,1.0,2.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_315,,,,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,4.0,4.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,4.0
bin_316,,,1.0,2.0,5.0,1.0,,2.0,1.0,2.0,3.0,,,4.0,2.0,3.0,1.0,2.0,6.0,1.0,,,3.0
bin_317,,,,1.0,2.0,,1.0,1.0,,,1.0,1.0,,5.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0
bin_318,,,1.0,,5.0,2.0,,,,2.0,5.0,2.0,,4.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0
bin_319,,,,2.0,2.0,,,2.0,2.0,2.0,1.0,1.0,,3.0,1.0,2.0,,3.0,6.0,1.0,,,2.0
bin_32,,,1.0,2.0,5.0,,1.0,,,2.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,,2.0
bin_320,1.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,7.0,3.0,1.0,1.0,3.0
bin_321,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,1.0,3.0,,1.0,3.0,,,1.0,3.0,1.0,3.0,,,3.0
bin_322,,,,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,,,5.0,1.0,3.0,,3.0,5.0,2.0,1.0,,4.0
bin_323,1.0,,1.0,3.0,6.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,4.0
bin_324,1.0,,1.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_325,,,,,4.0,1.0,,,,2.0,4.0,1.0,,4.0,,3.0,,1.0,4.0,2.0,1.0,1.0,2.0
bin_326,,,,5.0,6.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,,5.0,3.0,2.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_327,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,4.0,4.0,1.0,1.0,3.0
bin_328,,,,1.0,2.0,,,1.0,2.0,,1.0,,,4.0,,4.0,1.0,,3.0,1.0,,,1.0
bin_329,,,,2.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,5.0,4.0,1.0,1.0,2.0
bin_33,,,1.0,2.0,4.0,,1.0,,1.0,2.0,1.0,1.0,,5.0,2.0,2.0,1.0,3.0,5.0,2.0,,,3.0
bin_330,,,,2.0,5.0,,1.0,1.0,1.0,1.0,,1.0,,3.0,1.0,2.0,2.0,1.0,2.0,1.0,,,3.0
bin_331,,,,4.0,6.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,,6.0,2.0,3.0,1.0,4.0,5.0,4.0,1.0,2.0,3.0
bin_332,,,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,5.0,2.0,3.0,2.0,3.0,4.0,3.0,,1.0,3.0
